A5表 都道府県別集計,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,9352,14.39 ,14.39 ,186,877,1324,1300,1361,1722,1397,1165,20,7328,1951,73,286,1324,7652,262,7390,2326,175,2283,2606,90,6045,668,406,754,99,1380,0,5261,452,552,1217,287,1574,9,702,499,703,637,549,866,825,827,798,547,448,465,1486,1285,1405,1302,1281,1341,1368,1194,176,1631,6594,723,263,392,95,414,2000,2818,4829,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,450,15.51 ,15.51 ,6,34,72,73,75,77,65,48,0,343,101,6,17,69,360,10,350,111,10,106,123,4,302,8,28,33,4,75,0,279,7,37,35,5,86,1,32,18,29,20,23,36,39,42,35,16,20,21,119,59,67,61,60,66,69,49,19,90,257,35,16,19,4,23,138,133,210,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,122,16.53 ,16.53 ,4,9,19,14,18,14,22,22,0,103,19,0,6,23,93,3,90,17,1,48,24,0,77,0,7,13,3,22,0,67,10,7,12,3,23,0,10,4,7,9,6,17,11,13,10,4,11,4,16,14,20,14,19,23,14,17,1,23,54,8,7,5,3,1,50,28,71,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,155,22.17 ,22.17 ,1,7,15,18,19,26,36,33,0,131,24,0,7,27,121,1,120,17,4,53,46,0,104,0,10,19,4,18,0,85,8,12,8,7,35,0,11,6,15,12,12,20,18,9,12,10,5,6,19,23,25,23,21,24,20,14,5,19,110,14,5,2,0,7,50,53,67,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,145,12.11 ,12.11 ,8,22,20,17,21,21,17,19,0,121,24,0,4,25,116,9,107,31,3,24,49,0,91,19,7,13,1,14,0,84,7,11,21,3,19,0,7,9,8,12,8,15,8,15,13,7,8,9,26,28,19,17,20,25,18,16,2,28,103,21,5,12,6,7,25,44,82,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,115,19.68 ,19.68 ,0,7,6,10,12,14,38,28,0,96,19,0,3,13,99,0,99,6,2,48,43,0,79,1,10,10,0,15,0,76,3,10,4,1,21,0,6,4,11,7,1,13,11,9,9,1,2,6,35,19,22,15,14,16,12,16,1,11,63,6,1,2,0,3,44,17,80,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,96,15.74 ,15.74 ,0,8,15,9,10,15,16,23,0,89,7,0,1,10,85,0,85,16,0,46,23,0,65,2,7,10,1,11,0,58,5,7,3,2,21,0,7,4,7,11,7,11,10,9,9,3,5,8,5,13,14,17,8,16,15,12,1,24,78,4,1,5,1,9,10,32,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,139,13.20 ,13.20 ,2,13,11,17,26,21,18,31,0,115,23,1,6,20,113,2,111,32,5,33,41,0,86,1,11,18,2,21,0,66,7,16,9,3,38,0,10,6,11,14,13,10,13,13,15,2,11,9,12,20,14,34,15,16,22,17,1,27,108,10,5,8,1,3,23,43,80,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
