A5表 都道府県別集計,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成22年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,21982,35.41 ,35.41 ,363,2333,3221,3809,4525,4123,2247,1229,132,14814,6693,475,2431,7169,11766,656,11110,0,1780,3750,5580,616,11525,885,2590,1067,1014,4900,1,14051,478,2796,1769,465,2402,21,1911,1203,1702,1726,1177,1502,1565,1452,1529,1164,971,1024,5056,2788,3554,3150,3076,3014,2973,2520,907,2824,9120,6615,2306,700,274,1104,5962,3033,13465,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,1048,40.02 ,40.02 ,17,109,141,201,246,183,97,54,0,718,318,12,118,398,518,19,499,0,92,191,216,14,539,16,145,65,29,254,0,676,8,180,56,12,114,2,75,49,51,61,49,58,64,58,66,40,36,60,381,140,177,157,131,153,122,114,54,128,285,275,131,26,10,51,391,130,631,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,314,47.05 ,47.05 ,3,23,35,74,60,56,46,17,0,241,70,3,42,98,172,1,171,0,48,74,49,2,181,1,48,14,19,51,0,210,13,50,10,1,30,0,30,18,30,22,15,35,28,19,29,20,8,7,53,46,55,52,31,41,52,28,9,38,91,115,24,8,1,5,128,30,234,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,284,43.97 ,43.97 ,7,30,39,45,65,41,32,25,0,236,44,4,47,84,152,12,140,0,32,46,62,1,140,1,46,24,19,54,0,191,1,44,14,2,31,1,31,12,30,22,18,19,21,18,21,20,12,13,47,40,67,28,34,33,48,29,5,24,98,90,25,12,6,12,94,79,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,434,38.33 ,38.33 ,7,37,63,77,102,74,51,23,0,326,107,1,65,133,232,13,219,0,32,61,126,4,234,12,78,21,20,69,0,286,10,89,21,1,27,0,32,25,34,26,19,41,31,46,39,21,17,20,83,72,58,56,67,68,55,44,14,67,172,201,39,12,9,26,93,53,302,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,247,47.14 ,47.14 ,2,15,29,34,57,43,47,20,0,202,44,1,40,67,137,4,133,0,14,52,67,3,142,2,35,7,8,53,0,188,2,34,5,1,17,0,11,9,23,21,9,27,27,19,16,7,4,5,69,32,42,41,40,29,33,26,4,27,95,51,17,3,1,11,92,19,168,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,228,40.23 ,40.23 ,3,17,25,33,58,40,34,18,0,189,39,0,42,67,119,4,115,0,21,66,28,0,132,1,40,5,13,37,0,149,9,36,6,3,25,0,18,11,14,28,11,27,27,24,14,7,9,17,21,28,38,34,37,36,31,23,1,31,122,84,23,4,1,20,44,24,144,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,397,39.74 ,39.74 ,9,37,60,61,91,73,43,23,0,300,95,2,36,152,207,10,197,0,44,56,97,2,208,5,69,14,25,76,0,255,14,66,18,6,38,0,28,24,31,37,23,27,32,25,37,21,19,17,76,64,53,45,61,63,53,41,17,68,182,134,49,12,3,18,72,57,266,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
