A5表 都道府県別集計,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,19052,30.81 ,30.72 ,397,2154,2646,3389,3368,3414,2234,1332,118,12783,5958,311,2034,6071,10547,709,9838,0,1251,3887,4700,400,10634,788,1725,871,765,4268,1,12876,344,1919,1478,359,2064,12,1544,1000,1535,1509,1020,1342,1499,1367,1338,1008,784,852,4254,2471,3049,2752,2690,2599,2591,2248,652,2558,7844,4602,2172,630,326,1067,5260,2859,11797,4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,889,34.30 ,34.20 ,23,102,133,164,173,148,86,60,0,597,285,7,95,300,483,41,442,0,69,167,206,11,452,23,114,48,33,219,0,592,9,123,49,4,111,1,58,46,46,47,48,48,65,53,45,20,24,24,365,110,135,128,122,122,122,101,49,142,277,240,112,35,24,35,312,119,524,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,245,37.37 ,37.27 ,4,23,29,36,47,51,35,20,0,194,51,0,25,87,131,5,126,0,19,61,46,2,140,1,35,8,11,50,0,174,2,32,5,3,29,0,27,24,22,18,13,19,22,17,14,12,4,10,43,32,60,31,37,26,25,29,5,31,70,66,21,6,2,11,103,19,157,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,241,38.08 ,37.98 ,8,28,32,47,42,33,23,28,0,199,42,0,29,81,130,8,122,0,12,46,64,1,129,2,31,16,14,49,0,154,2,34,24,1,26,0,32,16,18,18,9,16,17,23,19,9,4,10,50,30,35,23,32,37,39,34,11,33,83,56,37,10,7,14,94,64,138,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,344,30.71 ,30.63 ,6,40,68,64,55,61,39,11,0,247,97,0,45,136,159,9,150,0,16,75,59,4,190,13,52,21,12,56,0,223,6,56,21,4,34,0,25,19,33,26,14,23,37,24,18,19,10,22,74,44,49,50,55,52,43,44,7,79,193,88,62,25,6,12,40,53,221,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,190,37.06 ,36.96 ,1,17,23,28,40,27,33,21,0,152,38,0,24,52,113,2,111,0,10,53,48,1,129,2,8,7,9,35,0,157,6,9,8,1,9,0,4,2,5,14,10,6,16,9,7,4,3,4,106,27,25,29,27,34,24,19,5,14,64,28,18,4,1,6,83,21,129,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,209,37.41 ,37.31 ,5,25,29,33,33,35,32,17,0,169,40,0,21,68,119,3,116,0,15,42,59,1,124,2,24,5,7,47,0,162,2,21,7,0,17,0,16,6,28,16,14,25,12,17,11,14,2,7,41,29,27,27,31,32,32,30,1,27,85,45,22,10,0,13,68,30,125,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,281,28.92 ,28.84 ,6,32,31,40,53,58,27,34,0,227,54,0,36,76,168,8,160,0,34,59,67,1,159,1,46,11,17,47,0,184,6,45,12,0,34,0,22,18,30,24,14,23,16,23,20,17,14,15,45,35,39,39,40,47,34,43,4,48,112,65,34,7,3,16,90,52,177,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
