A5表 都道府県別集計,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,,自殺死亡率,,年換算した自殺死亡率,,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,
,,,,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳
,,,,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,対前年比,,対前年比,,対前年比,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,7999,-456,12.16,-0.70,12.16,-0.70,163,734,994,1178,1109,1378,1337,1095,11,5992,1971,36,209,1261,6478,212,6266,1671,109,2373,2113,51,5280,741,226,544,66,1141,1,4928,316,308,1031,212,1187,17,563,437,554,582,500,703,743,692,671,452,372,357,1373,1119,1225,1159,1169,1021,1135,1035,136,1411,5477,455,239,316,72,386,1677,2494,4208,1297
1,北海道,352,-20,12.23,-0.68,12.23,-0.68,7,24,33,57,52,63,58,58,0,235,116,1,13,61,276,7,269,70,3,112,84,2,226,18,14,24,2,68,0,235,10,11,31,8,55,2,19,17,19,16,19,23,26,27,24,17,9,17,119,52,62,53,51,41,44,45,4,72,197,27,4,27,2,17,103,130,171,51
2,青森県,90,-5,12.51,-0.65,12.51,-0.65,0,9,10,13,15,17,19,7,0,66,23,1,9,14,66,2,64,14,3,37,10,1,60,1,7,7,2,13,0,57,8,7,3,1,14,0,10,10,2,3,5,12,11,8,9,7,0,2,11,12,13,11,12,14,13,14,1,9,37,6,3,1,0,2,49,18,45,27
3,岩手県,118,16,17.31,2.39,17.31,2.39,2,6,8,6,21,21,27,27,0,89,28,1,9,14,95,3,92,14,2,61,15,0,83,2,4,14,3,12,0,74,7,3,7,2,24,1,9,5,12,11,10,7,15,15,8,7,3,3,13,12,12,23,17,14,17,21,2,25,76,4,1,6,2,9,37,35,61,22
4,宮城県,168,9,14.07,0.71,14.07,0.71,3,18,17,30,29,24,23,24,0,131,37,0,5,29,133,3,130,43,3,52,32,1,100,18,8,20,1,21,0,96,6,8,22,2,34,0,8,4,12,10,9,11,18,12,11,8,6,5,54,22,20,24,25,29,24,17,7,43,131,12,5,12,2,11,16,58,88,22
5,秋田県,84,-12,14.84,-2.02,14.84,-2.02,0,7,9,7,6,14,22,19,0,74,10,0,4,11,69,1,68,9,0,29,30,0,64,1,4,5,0,10,0,69,0,4,4,1,6,0,12,1,7,3,6,3,9,8,6,6,1,1,21,9,9,16,15,14,7,14,0,14,53,3,2,0,0,1,23,15,64,5
6,山形県,70,-17,11.70,-2.77,11.70,-2.77,2,4,7,5,10,12,14,16,0,59,11,0,4,11,54,2,52,9,1,37,5,1,51,0,5,4,0,10,0,54,3,4,0,1,8,0,9,5,5,11,3,4,6,8,3,4,3,3,6,15,6,10,17,8,8,6,0,13,55,9,2,2,0,7,8,11,53,6
7,福島県,126,-6,12.45,-0.55,12.45,-0.55,5,10,10,12,20,21,24,24,0,100,26,0,7,15,104,4,100,20,4,32,44,0,91,5,6,5,2,17,0,89,8,5,7,1,15,1,13,10,16,7,9,11,10,15,10,4,5,6,10,14,21,23,8,21,22,14,3,20,81,2,3,6,1,6,41,27,80,19
8,茨城県,175,-7,11.69,-0.45,11.69,-0.45,5,7,24,21,32,37,30,19,0,141,32,2,7,35,131,3,128,42,0,33,53,2,137,6,5,3,2,22,0,127,6,7,9,2,24,0,17,10,14,13,22,10,16,13,13,12,7,7,21,22,29,27,25,22,29,18,3,32,136,5,5,5,3,1,27,37,72,66
9,栃木県,109,-31,10.79,-3.06,10.79,-3.06,1,11,10,17,12,20,16,22,0,92,17,0,4,8,96,3,93,20,4,38,31,1,82,3,3,10,2,9,0,67,6,5,6,2,23,0,8,4,10,9,4,11,9,6,10,4,2,2,30,12,18,14,18,14,12,16,5,15,80,9,4,4,2,4,21,31,59,19
10,群馬県,136,-30,13.30,-2.90,13.30,-2.90,3,9,17,17,17,21,28,24,0,113,23,0,3,17,116,3,113,29,2,19,63,0,95,6,3,13,1,18,0,80,6,7,16,3,24,0,3,4,8,4,4,10,11,8,13,7,3,1,60,23,12,13,28,20,21,17,2,25,94,10,1,5,1,9,9,40,88,8
11,埼玉県,452,-57,12.44,-1.60,12.44,-1.60,10,42,62,73,51,77,76,61,0,369,83,0,6,69,374,12,362,82,7,168,105,3,313,46,7,27,3,56,0,263,26,16,56,17,74,0,27,30,32,38,28,51,47,42,43,22,27,23,42,62,66,70,72,53,58,59,12,34,378,8,5,8,1,16,11,154,258,40
12,千葉県,405,42,12.95,1.33,12.95,1.33,10,39,72,62,51,68,56,47,0,309,94,2,5,53,345,12,333,88,10,103,132,2,256,44,8,28,1,68,0,242,20,14,63,17,49,0,20,23,46,34,25,34,37,39,41,32,23,16,35,48,65,65,55,57,66,44,5,89,238,23,12,15,4,11,122,151,190,64
13,東京都,897,-60,13.43,-0.96,13.43,-0.96,20,120,149,144,125,121,123,94,1,606,284,7,21,165,703,31,672,210,12,131,319,8,558,140,13,42,2,142,0,491,24,28,179,41,127,7,68,45,47,57,50,66,74,63,68,49,39,41,230,123,153,124,138,105,110,128,16,151,614,46,39,55,12,34,180,293,372,232
14,神奈川県,491,4,10.81,0.06,10.81,0.06,8,53,69,82,62,91,80,46,0,360,131,0,6,79,405,14,391,156,6,101,128,1,361,37,7,5,0,81,0,329,14,14,53,27,54,0,33,28,21,24,26,32,53,49,47,29,29,18,102,74,71,63,80,60,76,60,7,76,285,26,12,21,1,38,164,159,265,67
15,新潟県,189,-24,15.58,-1.92,15.58,-1.92,3,16,14,20,17,34,40,45,0,151,38,0,6,24,158,6,152,47,0,64,41,1,131,5,3,24,2,23,1,124,3,6,10,4,42,0,16,6,12,13,7,31,13,16,17,7,6,7,38,31,37,22,25,22,28,20,4,26,74,4,5,3,1,2,106,52,98,39
16,富山県,71,-19,12.58,-3.31,12.58,-3.31,1,5,11,7,11,11,15,10,0,57,14,0,3,17,51,1,50,14,2,21,13,0,40,3,4,11,0,13,0,38,5,6,5,1,16,0,6,8,5,4,3,9,6,8,9,1,0,5,7,10,12,11,8,11,13,6,0,9,51,11,1,2,0,2,13,18,46,7
17,石川県,58,-11,9.64,-1.82,9.64,-1.82,1,4,6,4,6,16,14,7,0,48,10,0,1,8,49,2,47,16,1,16,14,0,41,0,1,4,2,10,0,38,3,2,6,0,9,0,6,3,4,5,1,3,3,8,3,3,5,1,13,9,7,13,6,4,13,5,1,11,22,3,2,1,1,4,26,13,26,19
18,福井県,29,-10,6.96,-2.37,6.96,-2.37,1,0,2,2,4,10,6,4,0,24,5,0,2,2,25,1,24,13,1,8,2,0,25,0,2,0,0,2,0,21,2,3,0,0,3,0,4,0,0,4,3,3,2,5,3,3,1,1,0,5,5,6,3,4,2,4,0,7,18,2,0,0,0,2,10,7,20,2
19,山梨県,60,-6,13.64,-1.32,13.64,-1.32,0,3,4,7,11,7,14,14,0,42,18,0,1,11,47,1,46,11,0,12,23,1,43,0,2,6,0,9,0,40,4,2,4,2,8,0,5,2,7,3,8,4,4,4,10,3,4,2,4,9,7,10,9,3,9,13,0,9,28,4,0,2,2,3,25,14,35,11
20,長野県,135,9,12.18,0.84,12.18,0.84,6,10,21,16,21,21,21,19,0,109,26,0,2,26,107,2,105,24,5,44,32,0,103,0,5,11,1,15,0,88,7,7,8,3,22,0,4,3,7,7,8,8,10,13,11,5,2,3,54,13,22,17,17,19,19,17,11,27,104,11,6,3,0,11,16,42,71,22
21,岐阜県,145,10,13.45,0.96,13.45,0.96,2,14,22,15,13,27,28,24,0,124,20,1,5,23,117,5,112,18,3,48,43,0,103,2,9,10,3,18,0,105,4,9,3,4,19,1,8,8,11,17,12,17,5,12,12,11,8,4,20,31,19,19,24,15,22,13,2,22,85,7,7,5,3,4,49,41,65,39
22,静岡県,195,-27,10.12,-1.38,10.12,-1.38,7,14,25,30,22,32,46,19,0,155,40,0,4,38,153,5,148,34,3,45,66,0,133,12,3,19,1,27,0,124,12,7,19,0,33,0,15,12,20,12,9,16,23,22,13,9,14,5,25,24,25,28,31,27,30,28,2,30,115,11,4,3,2,10,68,57,108,30
23,愛知県,459,-37,12.29,-1.02,12.29,-1.02,13,41,50,86,65,79,63,62,0,346,113,0,6,79,371,15,356,101,4,167,84,3,300,59,7,26,0,67,0,293,10,16,67,9,61,3,38,23,32,39,37,48,39,40,43,23,20,22,55,63,68,60,56,67,68,62,15,72,322,39,21,15,8,20,69,133,298,28
24,三重県,118,0,12.33,0.03,12.33,0.03,1,7,10,15,23,20,17,25,0,92,26,0,0,17,100,1,99,16,2,47,34,1,78,9,6,11,0,14,0,68,8,7,12,3,20,0,15,6,10,8,12,9,13,13,11,6,6,5,4,14,22,13,21,9,15,21,3,15,92,2,3,6,0,1,12,41,70,7
25,滋賀県,91,-10,12.62,-1.41,12.62,-1.41,0,9,10,9,14,19,17,13,0,79,12,0,3,11,77,0,77,20,1,26,30,0,58,1,5,11,2,14,0,62,4,2,4,2,16,1,7,5,8,9,6,9,4,10,5,5,4,10,9,15,17,18,13,9,14,5,0,36,88,10,6,4,0,5,3,32,52,7
26,京都府,156,-5,11.60,-0.36,11.60,-0.36,4,15,19,35,23,18,25,17,0,114,42,0,4,27,125,6,119,40,4,41,34,0,103,24,9,3,0,17,0,96,7,7,28,4,14,0,8,7,9,8,10,13,11,9,6,6,4,2,63,19,21,19,20,22,30,21,4,26,100,12,4,8,1,4,33,49,79,28
27,大阪府,515,-39,11.25,-0.86,11.25,-0.86,9,46,70,92,71,90,91,46,0,361,154,0,8,79,427,11,416,112,4,229,71,1,335,98,5,14,1,62,0,305,18,17,110,18,47,0,34,38,30,43,26,48,55,49,46,41,22,43,40,64,76,90,80,62,71,66,6,98,454,22,21,15,3,15,8,172,285,58
28,兵庫県,389,2,13.24,0.08,13.24,0.08,7,39,52,59,52,64,61,55,0,282,106,1,10,68,311,11,300,61,2,136,101,0,227,64,7,37,5,49,0,207,12,9,79,13,69,0,35,33,25,33,42,41,44,25,44,22,23,20,2,51,57,55,55,50,72,49,0,75,274,21,12,6,3,37,34,136,214,39
29,奈良県,85,5,11.57,0.70,11.57,0.70,1,10,7,13,11,22,14,7,0,63,22,0,1,8,76,2,74,10,2,11,51,0,60,6,2,2,0,15,0,53,2,3,11,2,14,0,13,6,5,4,1,3,9,15,6,6,4,3,10,16,20,11,9,8,13,8,0,24,67,9,4,4,1,10,11,37,38,10
30,和歌山県,57,-13,10.69,-2.38,10.69,-2.38,1,5,5,8,9,6,9,14,0,40,17,0,5,11,41,0,41,9,0,15,17,0,35,4,1,5,1,11,0,40,2,1,7,1,6,0,1,4,3,5,2,4,9,5,4,2,5,3,10,8,10,7,12,9,5,6,0,13,41,4,1,3,0,2,10,12,35,10
31,鳥取県,26,-5,8.48,-1.60,8.48,-1.60,1,4,4,4,2,2,4,5,0,19,7,0,1,8,17,0,17,0,1,6,10,0,20,0,0,1,1,4,0,21,0,1,0,0,4,0,0,1,0,3,3,4,1,1,4,1,2,1,5,3,5,4,0,4,2,8,0,3,12,1,1,4,0,1,9,10,14,2
32,島根県,49,-7,13.18,-1.83,13.18,-1.83,0,3,5,6,10,7,6,12,0,43,6,0,1,12,36,0,36,7,0,15,14,0,34,0,2,4,1,8,0,36,1,2,2,1,7,0,2,1,6,2,4,4,9,5,4,2,2,2,6,7,5,6,9,9,3,10,0,6,32,1,1,3,0,1,11,10,33,6
33,岡山県,95,-17,9.43,-1.68,9.43,-1.68,2,5,9,9,10,17,20,23,0,83,12,0,4,14,77,2,75,16,1,39,19,0,59,4,0,16,1,15,0,54,6,0,8,1,26,0,3,4,7,12,8,15,11,7,4,4,5,3,12,15,17,17,16,10,10,10,0,26,71,7,5,1,0,5,15,28,52,15
34,広島県,165,-28,11.11,-1.89,11.11,-1.89,0,16,21,26,23,34,31,14,0,114,51,0,3,27,135,1,134,41,3,62,28,0,113,17,6,11,4,14,0,111,6,5,30,1,12,0,7,7,9,17,8,18,13,10,10,10,8,4,44,22,28,22,28,16,25,20,4,23,131,9,5,9,0,4,40,40,83,42
35,山口県,77,10,10.13,1.35,10.13,1.35,2,4,12,11,9,18,10,11,0,65,12,0,3,12,62,2,60,23,1,18,18,0,54,5,6,3,1,8,0,53,3,4,8,2,7,0,1,3,5,8,4,11,8,10,3,3,6,3,12,5,8,15,14,9,9,16,1,13,67,6,3,5,0,3,4,29,37,11
36,徳島県,49,-1,11.97,-0.20,11.97,-0.20,1,10,4,2,9,6,9,8,0,33,16,0,1,7,39,2,37,7,1,18,11,2,35,3,2,5,0,4,0,30,2,2,3,0,12,0,4,2,2,5,1,2,2,3,3,4,1,0,20,7,6,9,7,8,7,5,0,5,24,3,1,4,3,2,20,15,25,9
37,香川県,59,-8,11.27,-1.51,11.27,-1.51,3,9,6,9,8,6,6,12,0,44,15,0,1,9,48,4,44,7,1,16,20,1,39,3,3,7,0,7,0,34,1,4,9,0,11,0,8,5,9,4,1,6,4,4,4,2,2,3,7,15,7,4,9,8,9,7,0,10,37,4,0,6,3,5,14,23,32,4
38,愛媛県,100,-4,13.22,-0.49,13.22,-0.49,3,6,9,15,10,26,17,14,0,75,24,1,1,10,88,3,85,27,3,30,25,1,60,5,4,16,1,14,0,57,2,6,10,2,22,1,10,6,10,4,6,7,9,11,7,5,5,10,10,14,10,12,13,22,10,17,2,20,53,3,1,3,1,11,33,33,52,15
39,高知県,50,-3,12.53,-0.70,12.53,-0.70,0,5,5,4,5,7,13,11,0,35,15,0,1,5,44,1,43,10,0,22,11,0,32,0,1,4,3,10,0,35,1,2,4,0,8,0,2,3,3,5,2,5,3,7,7,4,2,4,3,12,5,5,4,7,6,11,0,10,34,4,2,1,0,3,16,14,31,5
