A5表 都道府県別集計,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,,自殺死亡率,,年換算した自殺死亡率,,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,
,,,,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳
,,,,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,対前年比,,対前年比,,対前年比,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,17219,-1367,27.49,-2.21,27.49,-2.21,373,1934,2383,3022,3035,2911,2147,1354,60,11392,5623,204,1626,5860,9428,658,8770,0,928,3842,4000,305,9790,812,1432,770,743,3672,0,11782,311,1561,1363,352,1826,24,1394,856,1359,1328,955,1169,1341,1242,1191,851,703,681,4149,2235,2769,2478,2408,2368,2223,2040,698,2212,7377,3643,1975,550,300,952,4642,2622,10941,3656
1,北海道,778,-66,30.10,-2.56,30.10,-2.56,24,78,110,150,137,120,89,70,0,513,259,6,77,287,409,30,379,0,52,179,148,5,444,16,99,35,36,148,0,534,5,97,34,3,104,1,47,19,28,41,32,55,49,46,37,21,20,20,363,104,111,98,102,120,92,99,52,122,228,191,108,34,11,48,258,152,487,139
2,青森県,210,-21,32.40,-3.15,32.40,-3.15,3,16,32,25,41,38,34,21,0,160,50,0,28,58,124,6,118,0,15,66,37,0,124,1,28,9,11,37,0,150,3,29,6,0,22,0,13,6,25,12,13,18,21,20,13,11,5,5,48,31,30,25,22,34,27,33,8,22,64,36,14,1,4,4,100,34,103,73
3,岩手県,236,-23,37.49,-3.60,37.49,-3.60,3,16,32,39,49,37,29,31,0,188,46,2,30,74,131,4,127,0,21,59,47,1,133,4,24,13,21,41,0,168,4,28,17,2,17,0,20,10,24,21,9,18,21,22,20,9,6,10,46,35,44,44,22,27,28,29,7,34,86,48,29,6,1,14,89,61,122,53
4,宮城県,337,11,29.68,0.78,29.68,0.78,11,42,46,68,70,46,29,25,0,252,84,1,30,140,164,16,148,0,22,71,55,3,191,10,41,24,18,53,0,236,5,40,18,0,38,0,29,17,35,11,21,22,27,19,14,17,13,12,100,47,46,53,44,52,44,38,13,72,145,98,59,19,7,20,56,40,228,69
5,秋田県,191,-2,37.87,-0.19,37.87,-0.19,2,18,20,23,47,30,28,23,0,145,46,0,25,61,105,4,101,0,10,40,51,0,123,1,17,7,6,37,0,145,7,17,5,1,16,0,13,2,7,12,12,8,14,13,8,1,2,3,96,22,33,23,30,25,29,20,9,16,67,44,24,2,1,9,63,18,154,19
6,山形県,176,-22,31.82,-3.86,31.82,-3.86,1,18,21,28,30,28,28,22,0,134,41,1,25,57,92,2,90,0,10,53,27,2,112,2,15,5,10,32,0,135,5,14,6,3,13,0,14,5,9,17,13,17,8,15,15,13,8,5,37,19,31,26,27,26,21,24,2,33,91,49,32,3,0,15,21,21,142,13
7,福島県,326,8,33.81,0.86,33.81,0.86,7,38,45,43,76,55,29,33,0,246,80,0,35,110,178,8,170,0,35,49,86,3,169,6,50,17,26,58,0,207,11,53,17,3,34,1,30,19,30,32,20,24,29,23,24,17,13,10,55,44,62,58,39,48,38,27,10,33,131,65,32,9,4,20,106,49,216,61
8,茨城県,390,-42,26.06,-2.78,26.06,-2.78,6,39,57,45,72,79,51,41,0,271,111,8,40,137,206,9,197,0,17,66,114,7,244,5,29,8,11,93,0,281,12,40,14,7,35,1,45,17,44,29,12,36,31,29,31,19,17,10,70,54,67,67,60,50,34,50,8,48,187,78,30,9,4,14,96,44,170,176
9,栃木県,306,-12,30.59,-1.21,30.59,-1.21,4,35,33,60,55,53,37,28,1,220,83,3,34,111,156,10,146,0,6,65,75,5,177,9,41,13,14,52,0,187,15,37,22,5,40,0,27,19,23,26,18,15,28,18,19,12,10,12,79,47,46,45,43,54,35,27,9,36,156,60,41,8,4,10,78,25,198,83
10,群馬県,276,-77,27.67,-7.66,27.67,-7.66,10,28,38,50,57,52,28,13,0,193,82,1,45,80,150,12,138,0,23,29,86,1,161,5,33,24,11,42,0,173,1,39,20,2,41,0,15,7,17,5,7,6,24,14,13,4,3,5,156,38,41,33,45,37,38,29,15,44,127,69,28,7,7,27,23,52,205,19
11,埼玉県,917,-105,25.08,-2.93,25.08,-2.93,20,115,137,177,145,130,141,52,0,613,302,2,66,320,527,42,485,0,49,217,219,4,534,65,60,54,20,184,0,571,13,83,96,42,112,0,56,54,73,93,58,74,60,58,78,63,40,51,159,112,132,151,133,112,123,111,43,71,520,173,81,26,13,37,35,162,658,97
12,千葉県,821,-42,26.30,-1.38,26.30,-1.38,26,95,127,143,153,127,107,43,0,520,298,3,59,295,462,33,429,0,51,160,218,5,467,66,53,37,17,181,0,523,18,61,88,35,96,0,46,41,91,63,54,52,73,62,75,49,40,42,133,100,118,122,139,115,99,84,44,112,301,180,67,30,19,45,275,124,576,121
13,東京都,1690,-114,25.92,-1.87,25.92,-1.87,53,226,261,323,281,258,194,93,1,958,712,20,139,549,950,119,831,0,86,200,545,52,945,151,52,67,37,438,0,1089,14,85,242,68,180,12,143,74,113,100,95,85,105,111,90,90,75,70,539,211,272,233,240,237,223,206,68,179,761,345,195,58,51,67,470,222,934,534
14,神奈川県,977,-144,21.44,-3.19,21.44,-3.19,20,120,140,192,169,158,112,65,1,599,367,11,72,353,529,45,484,0,60,200,224,23,601,42,61,18,23,232,0,712,10,72,63,34,86,0,111,51,67,63,46,60,74,63,62,51,41,37,251,144,140,153,125,138,140,103,34,96,303,164,103,20,18,70,420,125,663,189
15,新潟県,397,-26,34.78,-2.20,34.78,-2.20,9,35,48,72,72,66,48,47,0,295,100,2,43,150,201,10,191,0,16,94,81,3,247,4,47,19,13,67,0,278,5,50,15,2,45,2,29,16,47,33,26,33,37,27,24,18,12,17,78,58,62,60,48,56,45,53,15,33,108,51,38,8,6,10,220,60,251,86
16,富山県,198,23,37.56,4.45,37.56,4.45,5,27,38,30,30,27,24,17,0,142,55,1,16,70,106,9,97,0,16,49,32,6,121,4,23,10,4,36,0,134,4,25,11,4,20,0,21,12,15,12,7,20,21,14,18,10,12,8,28,26,28,39,26,24,27,21,7,31,70,47,31,5,3,13,53,31,137,30
17,石川県,136,-19,24.21,-3.43,24.21,-3.43,2,16,22,26,31,14,15,10,0,100,36,0,12,59,65,5,60,0,10,20,30,0,77,1,12,7,8,31,0,95,1,15,12,1,12,0,12,8,13,9,8,10,13,11,10,6,4,5,27,20,15,19,20,16,19,26,1,17,49,21,18,3,2,5,56,21,65,50
18,福井県,110,3,28.11,0.85,28.11,0.85,1,14,11,19,23,17,13,12,0,78,32,0,13,40,55,3,52,0,17,24,11,2,67,4,17,2,9,11,0,80,2,13,5,0,10,0,8,9,8,10,9,10,9,9,10,3,8,6,11,24,12,14,16,11,18,14,1,23,49,28,20,7,3,12,23,14,72,24
19,山梨県,143,5,33.90,1.27,33.90,1.27,3,17,18,22,25,22,22,14,0,105,38,0,17,62,64,6,58,0,2,22,34,0,72,0,13,9,11,38,0,86,6,14,14,5,18,0,14,9,12,8,10,8,11,14,9,7,5,4,32,17,21,22,24,14,23,17,5,9,46,23,26,1,3,6,58,24,83,36
20,長野県,328,38,31.16,3.67,31.16,3.67,11,36,43,49,73,63,27,26,0,247,80,1,35,124,166,17,149,0,17,73,59,3,181,4,56,21,16,50,0,216,10,51,24,0,27,0,18,12,16,17,22,9,11,14,19,16,7,9,158,38,50,44,46,47,35,36,32,59,159,91,48,10,12,24,59,34,227,67
21,岐阜県,289,9,28.34,0.93,28.34,0.93,6,32,45,50,53,39,31,33,0,215,73,1,32,99,155,12,143,0,19,61,63,3,154,8,32,9,22,64,0,198,3,35,19,5,28,1,27,17,18,23,15,23,19,19,26,14,10,8,70,26,44,39,48,45,43,32,12,32,105,49,37,5,3,16,111,39,159,91
22,静岡県,513,-40,27.33,-2.09,27.33,-2.09,7,54,68,98,103,93,59,31,0,347,164,2,40,215,256,10,246,0,12,58,176,2,256,20,51,38,31,117,0,335,10,54,30,2,82,0,48,19,40,51,18,28,52,40,36,23,11,22,125,58,109,65,82,68,52,62,17,77,173,102,63,12,5,18,183,65,372,76
23,愛知県,965,-59,25.78,-1.64,25.78,-1.64,24,138,145,188,131,160,124,54,1,585,374,6,73,346,530,35,495,0,47,291,157,16,549,63,83,29,27,214,0,655,9,109,78,18,96,0,82,58,86,82,61,68,59,86,70,44,41,48,180,125,163,112,124,126,118,128,69,120,436,217,128,37,21,51,206,142,710,113
24,三重県,221,-48,24.23,-5.24,24.23,-5.24,5,34,34,39,40,31,21,17,0,151,70,0,15,90,114,9,105,0,6,53,46,2,138,5,16,17,9,36,0,154,3,15,15,3,31,0,19,12,23,20,12,12,20,25,21,16,10,11,20,22,44,26,39,26,40,20,4,24,97,32,27,6,3,11,46,33,147,41
25,滋賀県,168,-44,23.98,-6.33,23.98,-6.33,4,24,20,37,23,31,16,13,0,122,46,0,6,68,94,10,84,0,10,39,35,0,100,5,10,15,13,25,0,120,5,6,13,3,21,0,12,13,21,17,9,12,13,19,16,10,6,7,13,24,26,19,28,30,20,18,3,42,92,52,28,12,10,26,16,28,113,27
26,京都府,316,-23,25.45,-1.85,25.45,-1.85,13,43,51,47,41,47,51,23,0,199,117,0,30,103,181,26,155,0,16,88,51,2,176,27,22,15,17,59,0,221,5,19,30,6,35,0,10,5,17,20,13,18,26,8,15,10,12,5,157,45,61,41,41,37,39,37,15,47,151,70,45,11,11,20,72,48,165,103
27,大阪府,918,-156,21.34,-3.64,21.34,-3.64,8,80,106,179,157,181,129,78,0,577,339,2,76,306,529,23,506,0,20,380,106,7,547,102,50,32,16,171,0,619,14,73,116,22,74,0,91,64,79,91,46,62,68,78,62,53,37,42,145,115,153,142,115,135,125,114,19,112,541,233,108,41,16,26,64,140,570,208
28,兵庫県,733,-40,26.98,-1.45,26.98,-1.45,16,82,86,125,122,151,97,54,0,445,286,2,84,212,432,30,402,0,50,181,171,5,403,56,46,38,16,174,0,486,15,40,80,23,89,0,115,40,55,89,42,61,78,61,46,37,61,43,5,100,121,114,103,95,101,99,0,97,344,182,85,16,14,62,102,131,517,85
29,奈良県,151,-10,22.59,-1.45,22.59,-1.45,2,26,17,28,23,27,18,10,0,107,44,0,10,53,88,6,82,0,1,22,59,0,89,8,10,6,7,31,0,106,2,5,12,8,18,0,22,10,14,8,10,17,17,14,7,5,4,6,17,24,20,13,24,28,21,19,2,29,80,41,27,6,3,9,22,39,95,17
30,和歌山県,129,-12,26.92,-2.39,26.92,-2.39,0,7,19,20,18,30,24,11,0,90,39,0,21,41,67,1,66,0,5,20,41,0,78,3,10,9,6,23,0,104,1,9,5,2,8,0,11,6,9,8,10,7,9,8,14,5,7,4,31,16,22,24,16,16,22,11,2,16,47,20,14,6,0,3,51,15,86,28
31,鳥取県,79,-16,28.18,-5.65,28.18,-5.65,1,10,11,10,16,10,15,6,0,65,14,0,9,24,46,3,43,0,8,11,24,0,48,1,8,1,3,18,0,57,0,11,3,0,8,0,0,2,5,8,7,12,7,5,9,4,5,4,11,13,17,11,14,9,11,3,1,18,27,16,8,4,3,3,30,16,54,9
32,島根県,114,-16,33.58,-4.65,33.58,-4.65,0,12,17,17,18,20,14,16,0,86,28,0,12,44,58,1,57,0,6,30,21,0,65,1,14,9,8,17,0,74,2,19,4,1,14,0,6,9,6,9,6,11,10,7,16,3,3,5,23,15,21,19,16,14,16,10,3,17,50,14,9,6,1,4,32,27,57,30
33,岡山県,225,-7,24.01,-0.75,24.01,-0.75,1,31,30,50,32,39,17,25,0,156,69,0,23,79,118,1,117,0,13,44,60,5,134,3,23,15,8,42,0,158,5,20,6,3,33,0,9,12,24,18,17,17,22,12,20,12,5,11,46,36,31,31,32,36,30,29,0,41,92,49,34,9,1,14,50,42,134,49
34,広島県,402,-27,28.90,-1.99,28.90,-1.99,9,46,61,60,57,78,59,32,0,253,147,2,38,128,236,12,224,0,25,133,66,0,239,18,40,17,25,63,0,271,11,35,38,3,44,0,23,13,27,22,21,18,33,32,32,32,12,11,126,50,71,65,48,49,51,51,17,53,220,74,34,7,3,16,114,66,238,98
35,山口県,185,-34,27.09,-4.91,27.09,-4.91,2,15,21,41,25,36,28,17,0,121,64,0,16,58,110,4,106,0,15,57,34,1,126,1,13,7,9,29,0,147,3,13,3,0,19,0,6,9,9,14,7,9,18,15,11,10,9,6,62,17,32,21,25,20,27,32,11,35,101,39,26,3,1,13,30,36,104,45
36,徳島県,111,-17,29.77,-4.45,29.77,-4.45,6,10,8,15,18,24,16,14,0,81,30,0,10,27,74,4,70,0,8,35,27,0,61,1,11,9,4,25,0,78,6,8,5,0,14,0,7,2,3,5,5,6,9,7,3,6,0,2,56,15,16,17,14,19,10,16,4,14,35,22,12,2,1,7,48,15,80,16
37,香川県,119,-21,24.46,-4.31,24.46,-4.31,1,15,18,16,23,22,14,10,0,88,30,1,7,44,65,3,62,0,9,28,25,3,60,3,13,6,8,29,0,88,2,9,7,0,13,0,12,7,14,9,3,6,12,19,6,5,5,3,18,14,22,18,17,14,17,13,4,15,52,28,17,3,1,7,31,21,83,15
38,愛媛県,208,-23,30.59,-3.32,30.59,-3.32,5,25,29,35,34,30,34,16,0,153,54,1,21,63,121,8,113,0,13,47,53,3,106,5,18,13,12,54,0,141,7,18,14,3,25,0,20,11,12,19,11,12,15,18,17,16,13,10,34,23,30,25,32,37,27,25,9,17,72,31,15,14,3,7,93,26,137,45
39,高知県,113,-11,31.82,-3.07,31.82,-3.07,1,11,14,10,21,21,18,17,0,76,37,0,12,25,75,8,67,0,5,38,24,1,58,2,7,6,16,24,0,85,5,6,6,0,11,0,7,9,7,9,8,7,16,5,9,10,8,4,14,20,17,15,11,20,10,19,1,16,49,19,8,2,4,8,37,18,73,22
