A5表 都道府県別集計,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,,自殺死亡率,,年換算した自殺死亡率,,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,
,,,,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳
,,,,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,対前年比,,対前年比,,対前年比,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,25218,-1823,19.63,-1.43,19.63,-1.43,536,2668,3377,4200,4144,4289,3484,2449,71,17384,7594,240,1835,7121,15906,870,15036,1671,1037,6215,6113,356,15070,1553,1658,1314,809,4813,1,16710,627,1869,2394,564,3013,41,1957,1293,1913,1910,1455,1872,2084,1934,1862,1303,1075,1038,5522,3354,3994,3637,3577,3389,3358,3075,834,3623,12854,4098,2214,866,372,1338,6319,5116,15149,4953
1,北海道,1130,-86,20.68,-1.56,20.68,-1.56,31,102,143,207,189,183,147,128,0,748,375,7,90,348,685,37,648,70,55,291,232,7,670,34,113,59,38,216,0,769,15,108,65,11,159,3,66,36,47,57,51,78,75,73,61,38,29,37,482,156,173,151,153,161,136,144,56,194,425,218,112,61,13,65,361,282,658,190
2,青森県,300,-26,21.93,-1.83,21.93,-1.83,3,25,42,38,56,55,53,28,0,226,73,1,37,72,190,8,182,14,18,103,47,1,184,2,35,16,13,50,0,207,11,36,9,1,36,0,23,16,27,15,18,30,32,28,22,18,5,7,59,43,43,36,34,48,40,47,9,31,101,42,17,2,4,6,149,52,148,100
3,岩手県,354,-7,26.99,-0.47,26.99,-0.47,5,22,40,45,70,58,56,58,0,277,74,3,39,88,226,7,219,14,23,120,62,1,216,6,28,27,24,53,0,242,11,31,24,4,41,1,29,15,36,32,19,25,36,37,28,16,9,13,59,47,56,67,39,41,45,50,9,59,162,52,30,12,3,23,126,96,183,75
4,宮城県,505,20,21.68,0.76,21.68,0.76,14,60,63,98,99,70,52,49,0,383,121,1,35,169,297,19,278,43,25,123,87,4,291,28,49,44,19,74,0,332,11,48,40,2,72,0,37,21,47,21,30,33,45,31,25,25,19,17,154,69,66,77,69,81,68,55,20,115,276,110,64,31,9,31,72,98,316,91
5,秋田県,275,-14,25.70,-1.16,25.70,-1.16,2,25,29,30,53,44,50,42,0,219,56,0,29,72,174,5,169,9,10,69,81,0,187,2,21,12,6,47,0,214,7,21,9,2,22,0,25,3,14,15,18,11,23,21,14,7,3,4,117,31,42,39,45,39,36,34,9,30,120,47,26,2,1,10,86,33,218,24
6,山形県,246,-39,21.37,-3.29,21.37,-3.29,3,22,28,33,40,40,42,38,0,193,52,1,29,68,146,4,142,9,11,90,32,3,163,2,20,9,10,42,0,189,8,18,6,4,21,0,23,10,14,28,16,21,14,23,18,17,11,8,43,34,37,36,44,34,29,30,2,46,146,58,34,5,0,22,29,32,195,19
7,福島県,452,2,22.87,0.15,22.87,0.15,12,48,55,55,96,76,53,57,0,346,106,0,42,125,282,12,270,20,39,81,130,3,260,11,56,22,28,75,0,296,19,58,24,4,49,2,43,29,46,39,29,35,39,38,34,21,18,16,65,58,83,81,47,69,60,41,13,53,212,67,35,15,5,26,147,76,296,80
8,茨城県,565,-49,18.87,-1.61,18.87,-1.61,11,46,81,66,104,116,81,60,0,412,143,10,47,172,337,12,325,42,17,99,167,9,381,11,34,11,13,115,0,408,18,47,23,9,59,1,62,27,58,42,34,46,47,42,44,31,24,17,91,76,96,94,85,72,63,68,11,80,323,83,35,14,7,15,123,81,242,242
9,栃木県,415,-43,20.64,-2.13,20.64,-2.13,5,46,43,77,67,73,53,50,1,312,100,3,38,119,252,13,239,20,10,103,106,6,259,12,44,23,16,61,0,254,21,42,28,7,63,0,35,23,33,35,22,26,37,24,29,16,12,14,109,59,64,59,61,68,47,43,14,51,236,69,45,12,6,14,99,56,257,102
10,群馬県,412,-107,20.40,-5.25,20.40,-5.25,13,37,55,67,74,73,56,37,0,306,105,1,48,97,266,15,251,29,25,48,149,1,256,11,36,37,12,60,0,253,7,46,36,5,65,0,18,11,25,9,11,16,35,22,26,11,6,6,216,61,53,46,73,57,59,46,17,69,221,79,29,12,8,36,32,92,293,27
11,埼玉県,1369,-162,18.78,-2.27,18.78,-2.27,30,157,199,250,196,207,217,113,0,982,385,2,72,389,901,54,847,82,56,385,324,7,847,111,67,81,23,240,0,834,39,99,152,59,186,0,83,84,105,131,86,125,107,100,121,85,67,74,201,174,198,221,205,165,181,170,55,105,898,181,86,34,14,53,46,316,916,137
12,千葉県,1226,0,19.62,-0.02,19.62,-0.02,36,134,199,205,204,195,163,90,0,829,392,5,64,348,807,45,762,88,61,263,350,7,723,110,61,65,18,249,0,765,38,75,151,52,145,0,66,64,137,97,79,86,110,101,116,81,63,58,168,148,183,187,194,172,165,128,49,201,539,203,79,45,23,56,397,275,766,185
13,東京都,2587,-174,19.60,-1.41,19.60,-1.41,73,346,410,467,406,379,317,187,2,1564,996,27,160,714,1653,150,1503,210,98,331,864,60,1503,291,65,109,39,580,0,1580,38,113,421,109,307,19,211,119,160,157,145,151,179,174,158,139,114,111,769,334,425,357,378,342,333,334,84,330,1375,391,234,113,63,101,650,515,1306,766
14,神奈川県,1468,-140,16.13,-1.57,16.13,-1.57,28,173,209,274,231,249,192,111,1,959,498,11,78,432,934,59,875,156,66,301,352,24,962,79,68,23,23,313,0,1041,24,86,116,61,140,0,144,79,88,87,72,92,127,112,109,80,70,55,353,218,211,216,205,198,216,163,41,172,588,190,115,41,19,108,584,284,928,256
15,新潟県,586,-50,24.88,-2.05,24.88,-2.05,12,51,62,92,89,100,88,92,0,446,138,2,49,174,359,16,343,47,16,158,122,4,378,9,50,43,15,90,1,402,8,56,25,6,87,2,45,22,59,46,33,64,50,43,41,25,18,24,116,89,99,82,73,78,73,73,19,59,182,55,43,11,7,12,326,112,349,125
16,富山県,269,4,24.64,0.44,24.64,0.44,6,32,49,37,41,38,39,27,0,199,69,1,19,87,157,10,147,14,18,70,45,6,161,7,27,21,4,49,0,172,9,31,16,5,36,0,27,20,20,16,10,29,27,22,27,11,12,13,35,36,40,50,34,35,40,27,7,40,121,58,32,7,3,15,66,49,183,37
17,石川県,194,-30,16.68,-2.58,16.68,-2.58,3,20,28,30,37,30,29,17,0,148,46,0,13,67,114,7,107,16,11,36,44,0,118,1,13,11,10,41,0,133,4,17,18,1,21,0,18,11,17,14,9,13,16,19,13,9,9,6,40,29,22,32,26,20,32,31,2,28,71,24,20,4,3,9,82,34,91,69
18,福井県,139,-7,17.20,-0.81,17.20,-0.81,2,14,13,21,27,27,19,16,0,102,37,0,15,42,80,4,76,13,18,32,13,2,92,4,19,2,9,13,0,101,4,16,5,0,13,0,12,9,8,14,12,13,11,14,13,6,9,7,11,29,17,20,19,15,20,18,1,30,67,30,20,7,3,14,33,21,92,26
19,山梨県,203,-1,23.56,-0.05,23.56,-0.05,3,20,22,29,36,29,36,28,0,147,56,0,18,73,111,7,104,11,2,34,57,1,115,0,15,15,11,47,0,126,10,16,18,7,26,0,19,11,19,11,18,12,15,18,19,10,9,6,36,26,28,32,33,17,32,30,5,18,74,27,26,3,5,9,83,38,118,47
20,長野県,463,47,21.43,2.22,21.43,2.22,17,46,64,65,94,84,48,45,0,356,106,1,37,150,273,19,254,24,22,117,91,3,284,4,61,32,17,65,0,304,17,58,32,3,49,0,22,15,23,24,30,17,21,27,30,21,9,12,212,51,72,61,63,66,54,53,43,86,263,102,54,13,12,35,75,76,298,89
21,岐阜県,434,19,20.68,0.95,20.68,0.95,8,46,67,65,66,66,59,57,0,339,93,2,37,122,272,17,255,18,22,109,106,3,257,10,41,19,25,82,0,303,7,44,22,9,47,2,35,25,29,40,27,40,24,31,38,25,18,12,90,57,63,58,72,60,65,45,14,54,190,56,44,10,6,20,160,80,224,130
22,静岡県,708,-67,18.61,-1.73,18.61,-1.73,14,68,93,128,125,125,105,50,0,502,204,2,44,253,409,15,394,34,15,103,242,2,389,32,54,57,32,144,0,459,22,61,49,2,115,0,63,31,60,63,27,44,75,62,49,32,25,27,150,82,134,93,113,95,82,90,19,107,288,113,67,15,7,28,251,122,480,106
23,愛知県,1424,-96,19.04,-1.33,19.04,-1.33,37,179,195,274,196,239,187,116,1,931,487,6,79,425,901,50,851,101,51,458,241,19,849,122,90,55,27,281,0,948,19,125,145,27,157,3,120,81,118,121,98,116,98,126,113,67,61,70,235,188,231,172,180,193,186,190,84,192,758,256,149,52,29,71,275,275,1008,141
24,三重県,339,-48,18.14,-2.54,18.14,-2.54,6,41,44,54,63,51,38,42,0,243,96,0,15,107,214,10,204,16,8,100,80,3,216,14,22,28,9,50,0,222,11,22,27,6,51,0,34,18,33,28,24,21,33,38,32,22,16,16,24,36,66,39,60,35,55,41,7,39,189,34,30,12,3,12,58,74,217,48
25,滋賀県,259,-54,18.22,-3.83,18.22,-3.83,4,33,30,46,37,50,33,26,0,201,58,0,9,79,171,10,161,20,11,65,65,0,158,6,15,26,15,39,0,182,9,8,17,5,37,1,19,18,29,26,15,21,17,29,21,15,10,17,22,39,43,37,41,39,34,23,3,78,180,62,34,16,10,31,19,60,165,34
26,京都府,472,-28,18.25,-1.07,18.25,-1.07,17,58,70,82,64,65,76,40,0,313,159,0,34,130,306,32,274,40,20,129,85,2,279,51,31,18,17,76,0,317,12,26,58,10,49,0,18,12,26,28,23,31,37,17,21,16,16,7,220,64,82,60,61,59,69,58,19,73,251,82,49,19,12,24,105,97,244,131
27,大阪府,1433,-195,16.14,-2.21,16.14,-2.21,17,126,176,271,228,271,220,124,0,938,493,2,84,385,956,34,922,112,24,609,177,8,882,200,55,46,17,233,0,924,32,90,226,40,121,0,125,102,109,134,72,110,123,127,108,94,59,85,185,179,229,232,195,197,196,180,25,210,995,255,129,56,19,41,72,312,855,266
28,兵庫県,1122,-38,19.84,-0.65,19.84,-0.65,23,121,138,184,174,215,158,109,0,727,392,3,94,280,743,41,702,61,52,317,272,5,630,120,53,75,21,223,0,693,27,49,159,36,158,0,150,73,80,122,84,102,122,86,90,59,84,63,7,151,178,169,158,145,173,148,0,172,618,203,97,22,17,99,136,267,731,124
29,奈良県,236,-5,16.82,-0.33,16.82,-0.33,3,36,24,41,34,49,32,17,0,170,66,0,11,61,164,8,156,10,3,33,110,0,149,14,12,8,7,46,0,159,4,8,23,10,32,0,35,16,19,12,11,20,26,29,13,11,8,9,27,40,40,24,33,36,34,27,2,53,147,50,31,10,4,19,33,76,133,27
30,和歌山県,186,-25,18.38,-2.38,18.38,-2.38,1,12,24,28,27,36,33,25,0,130,56,0,26,52,108,1,107,9,5,35,58,0,113,7,11,14,7,34,0,144,3,10,12,3,14,0,12,10,12,13,12,11,18,13,18,7,12,7,41,24,32,31,28,25,27,17,2,29,88,24,15,9,0,5,61,27,121,38
31,鳥取県,105,-21,17.89,-3.52,17.89,-3.52,2,14,15,14,18,12,19,11,0,84,21,0,10,32,63,3,60,0,9,17,34,0,68,1,8,2,4,22,0,78,0,12,3,0,12,0,0,3,5,11,10,16,8,6,13,5,7,5,16,16,22,15,14,13,13,11,1,21,39,17,9,8,3,4,39,26,68,11
32,島根県,163,-23,22.91,-3.17,22.91,-3.17,0,15,22,23,28,27,20,28,0,129,34,0,13,56,94,1,93,7,6,45,35,0,99,1,16,13,9,25,0,110,3,21,6,2,21,0,8,10,12,11,10,15,19,12,20,5,5,7,29,22,26,25,25,23,19,20,3,23,82,15,10,9,1,5,43,37,90,36
33,岡山県,320,-24,16.45,-1.23,16.45,-1.23,3,36,39,59,42,56,37,48,0,239,81,0,27,93,195,3,192,16,14,83,79,5,193,7,23,31,9,57,0,212,11,20,14,4,59,0,12,16,31,30,25,32,33,19,24,16,10,14,58,51,48,48,48,46,40,39,0,67,163,56,39,10,1,19,65,70,186,64
34,広島県,567,-55,19.71,-1.93,19.71,-1.93,9,62,82,86,80,112,90,46,0,367,198,2,41,155,371,13,358,41,28,195,94,0,352,35,46,28,29,77,0,382,17,40,68,4,56,0,30,20,36,39,29,36,46,42,42,42,20,15,170,72,99,87,76,65,76,71,21,76,351,83,39,16,3,20,154,106,321,140
35,山口県,262,-24,18.15,-1.60,18.15,-1.60,4,19,33,52,34,54,38,28,0,186,76,0,19,70,172,6,166,23,16,75,52,1,180,6,19,10,10,37,0,200,6,17,11,2,26,0,7,12,14,22,11,20,26,25,14,13,15,9,74,22,40,36,39,29,36,48,12,48,168,45,29,8,1,16,34,65,141,56
36,徳島県,160,-18,20.45,-2.22,20.45,-2.22,7,20,12,17,27,30,25,22,0,114,46,0,11,34,113,6,107,7,9,53,38,2,96,4,13,14,4,29,0,108,8,10,8,0,26,0,11,4,5,10,6,8,11,10,6,10,1,2,76,22,22,26,21,27,17,21,4,19,59,25,13,6,4,9,68,30,105,25
37,香川県,178,-29,17.62,-2.86,17.62,-2.86,4,24,24,25,31,28,20,22,0,132,45,1,8,53,113,7,106,7,10,44,45,4,99,6,16,13,8,36,0,122,3,13,16,0,24,0,20,12,23,13,4,12,16,23,10,7,7,6,25,29,29,22,26,22,26,20,4,25,89,32,17,9,4,12,45,44,115,19
38,愛媛県,308,-27,21.44,-1.82,21.44,-1.82,8,31,38,50,44,56,51,30,0,228,78,2,22,73,209,11,198,27,16,77,78,4,166,10,22,29,13,68,0,198,9,24,24,5,47,1,30,17,22,23,17,19,24,29,24,21,18,20,44,37,40,37,45,59,37,42,11,37,125,34,16,17,4,18,126,59,189,60
39,高知県,163,-14,21.61,-1.80,21.61,-1.80,1,16,19,14,26,28,31,28,0,111,52,0,13,30,119,9,110,10,5,60,35,1,90,2,8,10,19,34,0,120,6,8,10,0,19,0,9,12,10,14,10,12,19,12,16,14,10,8,17,32,22,20,15,27,16,30,1,26,83,23,10,3,4,11,53,32,104,27
